x_coord,y_coord,z_coord,HDBSCAN_cluster,stage,stage_category,health_status
-12.980202,7.7054152,7.644105,2,F1,Healthy,Healthy
-6.155354,16.756702,3.6345415,2,F1,Healthy,Healthy
-7.139303,-7.3956547,-16.796,2,F1,Healthy,Healthy
-7.827473,-17.303896,-15.360152,2,F1,Healthy,Healthy
-15.969523,14.54495,11.34819,2,F1,Healthy,Healthy
-8.254395,8.792882,-11.07845,2,F1,Healthy,Healthy
-6.6187124,6.709785,-12.372814,2,F1,Healthy,Healthy
-16.370602,7.816218,16.821287,2,F1,Healthy,Healthy
-4.822177,6.2077045,-16.060703,2,F1,Healthy,Healthy
0.552358,18.731823,0.7402823,2,F1,Healthy,Healthy
-11.540573,-2.4101803,-8.96184,2,F1,Healthy,Healthy
-10.897082,6.8629436,-5.7897353,2,F1,Healthy,Healthy
-14.728401,11.8406515,-7.680514,2,F1,Healthy,Healthy
-19.818426,12.656524,-10.733758,2,F1,Healthy,Healthy
-10.596277,4.0485835,-11.816504,2,F1,Healthy,Healthy
-13.472093,1.8076081,-12.897001,2,F1,Healthy,Healthy
-16.513807,9.074248,13.886125,2,F1,Healthy,Healthy
-14.824086,14.325172,-1.4612534,2,F1,Healthy,Healthy
-16.993076,7.6190643,15.1071,2,F1,Healthy,Healthy
-24.793898,3.556335,-10.028301,2,F1,Healthy,Healthy
-7.841407,11.564944,4.1637683,2,F1,Healthy,Healthy
-4.115497,-0.839573,-20.27757,2,F1,Healthy,Healthy
-8.0840435,-12.704073,-14.546725,2,F1,Healthy,Healthy
-20.485735,4.317726,8.37605,2,F1,Healthy,Healthy
19.066223,8.752688,6.1642785,2,F1,Healthy,Healthy
-5.0719223,-11.425144,-15.274461,2,F1,Healthy,Healthy
-7.431401,-5.4637756,-11.060791,2,F1,Healthy,Healthy
-4.64207,12.353959,3.338476,2,F1,Healthy,Healthy
-8.932628,1.1402352,-4.2080812,2,F1,Healthy,Healthy
-3.518551,-2.5441709,-19.555946,2,F1,Healthy,Healthy
-18.510334,-6.8644257,-7.1448245,2,F1,Healthy,Healthy
13.247839,16.981764,4.2557244,2,F1,Healthy,Healthy
-18.851364,14.225821,7.301313,2,F1,Healthy,Healthy
-2.3998818,-1.9978021,-19.95192,2,F1,Healthy,Healthy
-6.669004,6.8357725,-12.3043995,2,F1,Healthy,Healthy
-7.7409625,-13.54484,-16.89979,2,F1,Healthy,Healthy
-8.5966425,-8.460287,-15.512987,2,F1,Healthy,Healthy
-6.2448754,-6.763546,-13.960001,2,F1,Healthy,Healthy
-14.134347,-8.661192,-13.546386,2,F1,Healthy,Healthy
-7.7741427,4.0056057,9.710525,2,F1,Healthy,Healthy
-8.238055,-1.3444536,9.639008,2,F1,Healthy,Healthy
-7.2901645,4.1466675,-9.38612,2,F1,Healthy,Healthy
-7.6867733,-2.4283643,5.457945,2,F1,Healthy,Healthy
-9.840443,0.32090873,11.838775,2,F1,Healthy,Healthy
-12.23873,4.898898,18.999348,2,F1,Healthy,Healthy
-14.992069,5.166747,1.1950372,2,F1,Healthy,Healthy
-6.3976827,-11.965648,-13.050898,2,F1,Healthy,Healthy
-5.698369,6.6675706,-15.89161,2,F1,Healthy,Healthy
-17.598434,1.8399541,11.68373,2,F1,Healthy,Healthy
-14.073547,-10.785204,-14.984522,2,F1,Healthy,Healthy
-25.580412,2.4733102,-1.2907664,2,F1,Healthy,Healthy
-7.9728246,-5.6747017,-11.802649,2,F1,Healthy,Healthy
-8.312633,-15.340004,-11.812087,2,F1,Healthy,Healthy
-16.982403,1.5975622,-9.336345,2,F1,Healthy,Healthy
-15.659341,15.142861,-0.83386904,2,F1,Healthy,Healthy
-8.982623,4.396777,-4.9379582,2,F1,Healthy,Healthy
-12.74919,5.9601665,-6.1518884,2,F1,Healthy,Healthy
-10.734707,3.6521456,-16.390467,2,F1,Healthy,Healthy
-12.312199,-9.274997,-13.457539,2,F1,Healthy,Healthy
-15.52839,13.798706,9.149274,2,F1,Healthy,Healthy
-3.6503253,-8.750663,-18.540049,2,F1,Healthy,Healthy
-12.775581,-6.4330087,-9.867181,2,F1,Healthy,Healthy
-8.863736,12.993628,1.1773368,2,F1,Healthy,Healthy
-10.52624,-15.359055,-15.290184,2,F1,Healthy,Healthy
-19.762716,4.600104,-14.509161,2,F1,Healthy,Healthy
-13.288843,4.9161124,14.7937155,2,F1,Healthy,Healthy
-11.499887,-9.137245,-9.386698,2,F1,Healthy,Healthy
-17.043644,1.4380791,11.7788,2,F1,Healthy,Healthy
-9.575304,-8.398909,-13.006914,2,F1,Healthy,Healthy
-19.32804,2.0829422,6.236079,2,F1,Healthy,Healthy
-16.093,16.710978,4.2670836,2,F1,Healthy,Healthy
-14.604732,7.198939,14.336485,2,F1,Healthy,Healthy
-19.448757,12.41907,5.720408,2,F1,Healthy,Healthy
1.9476998,4.351406,11.51517,2,F1,Healthy,Healthy
-15.519359,12.944465,12.774286,2,F1,Healthy,Healthy
-17.159271,8.266297,-9.302288,2,F1,Healthy,Healthy
-23.937658,1.864456,-1.9957964,2,F1,Healthy,Healthy
-18.758444,4.4381156,-16.864683,2,F1,Healthy,Healthy
-19.20054,14.218388,7.3893523,2,F1,Healthy,Healthy
-0.34993142,11.172304,-1.9091154,2,F1,Healthy,Healthy
-9.172394,8.324869,-1.625174,2,F1,Healthy,Healthy
-16.293037,16.332666,4.7199326,2,F1,Healthy,Healthy
-18.2415,0.99301356,-15.487675,2,F1,Healthy,Healthy
-16.52994,5.4917426,-6.8715863,2,F1,Healthy,Healthy
-3.3195083,0.8641709,-20.212942,2,F1,Healthy,Healthy
-7.5844755,-10.434574,-11.772808,2,F1,Healthy,Healthy
-9.149595,18.804747,2.1327455,2,F1,Healthy,Healthy
-5.290465,11.476011,14.086158,2,F1,Healthy,Healthy
